url,creation_date,scraped_date,full_address,street,zip_code,district,housing_type,size,number_of_rooms,floor,rental_period,available_from,summary,monthly_rent,aconto,deposit,prepaid_rent,occupancy_price,total_monthly_cost,months_of_prepaid_rent,months_of_deposit,is_furnished,is_shareable,pets_allowed,has_elevator,students_only,has_balcony,has_parking
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/112m2-3-vaer-id-5237973,11/03/2021,11/06/2021,"Amager Strandvej, 2300 København, København S  - 1. sal",Amager Strandvej,2300,København S,Apartment,112.0,3,1,Unlimited,02/01/2022,"The apartment: Here you live in the first row to the marina, steps from Amager Strandpark. In addition, you have access to the property's large green courtyard, where in the summer in peace and quiet can enjoy the good weather. The home is built in Scandinavian style and appears modern, light and inviting. The high-ceiling, large window sections provide large amounts of daylight into the home. The heart's heart is the central living room with open kitchen and exit to the balcony. The kitchen is minimalist design from HTH in matt white with fully integrated white goods from Siemens, Energy class A. The tile bathroom is furnished with the same items as the kitchen, wall-mounted toilet and shower with Rainshower Kit. In addition, there is both washer and dryer. In the tenant goal is also a large bedroom with lovely light. There are underfloor heating throughout the lease.Fens the Balcony's balcony overlooks both the marina and Amager beach. 3 sqm. Storage room in the basement. The lease can be used both for couples or friends. If you have children, you have priority for the day care center, which is next door to the property. Option to apply for exemption for smaller livestock by occupancy. The property and area: The property is built in 2020 and designed by the architects of water art. It an architecturally beautiful property with 75 rental housing and a business rental. Large, newly annotated joint courtyard. Possibility to rent parking in neighboring parking parking. Close to everything: -5 min. To Copenhagen Airport-5 min. walk to metro st. Øresund Superbikelsti Cafes and restaurants in the nearby-city life-day institutions and school-fitness naval club-Amager beach with the possibility to swim, play mini golf, beach volleyball or exploit the amazing conditions of kite surfing. * The pictures are taken from another residence in the property But it shows the quality and materials used. ** The lease is taken over unfurnished",14597,1200,43791,14597,74185,15797,1,3,0,1,1,1,0,1,1
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/101m2-3-vaer-id-5237931,11/03/2021,11/06/2021,"Krimsvej, 2300 København, København S  - 8. sal",Krimsvej,2300,København S,Apartment,101.0,3,8,Unlimited,02/01/2022,"Welcome to this amazing area on Amager Beach, which offers numerous options. Here you are close to the popular Amager beach, shopping, fitness, restaurants and metro. In recent years, the Eastern Amager has been through a fascinating transformation focusing on freedom, green areas, community with room for individuality and a perfect balance between conservation and renewal. Shops, cafes, expansion of school and childcare facilities are just around the corner and with a minute to the subway, you are secured quick transport.",14495,1100,43485,14495,73575,15595,1,3,0,0,0,0,0,0,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/90m2-3-vaer-id-5238429,11/04/2021,11/06/2021,"Gråspurvevej, 2400 København, København NV  - 3. sal",Gråspurvevej,2400,København NV,Apartment,90.0,3,3,Unlimited,02/01/2022,Large 3 bedroom apartment - MOVING ready on February 1 2025 is located in recent and nicely maintained residential area - green outside areas - The apartment will be totally modernized by the move. The apartment is light and has balcony.,11808,950,35423,11808,59988,12758,1,2,0,0,1,1,0,1,1
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/101m2-4-vaer-id-5237514,11/02/2021,11/06/2021,"Ingrid Marievej, 2500 København, Valby  - 3. sal",Ingrid Marievej,2500,Valby,Apartment,101.0,4,3,Unlimited,02/01/2022,"ASSIUS NUSE has a central location in Copenhagen's budding district, Grønttorvet. Here you are surrounded by edible trees and shrubs and beautiful green areas. The property has a unique location near the Grønttorvets Park and suitable for couples and families who want to be close to the city's pulse, but stay in relaxed green surroundings. Houses in total 196 well-appointed apartments in high quality. The apartments are from 1-5 rooms, all with a minimum of one balcony or terrace. All apartments are furnished with interested white goods incl. Washing column in the bathroom. The apartments appear bright and friendly with large window parents and parquet floors with underfloor heating throughout the apartments.info on rental terms: - There is no possibility to rent if you are registered in RKI payable 3 months in the deposit, 1st month's rent and last month Rental .- Sharing housing is not allowed. Animal housing can be applied for one cat or dog. If there are several unemployed, there will be the opportunity to rent a parking in the underlying undergraduar managed by Apcoa. * Note that the images do not necessarily taken off / from the residence in question and that view etc. Therefore, vary. Open House: - Monday, November 8, 2021, at. 15: 30-15: 45 - Monday, November 8, 2021, at. 15: 30-15: 45Obs: Please keep up to date as there may be changes.",14595,1100,43785,14595,74075,15695,1,3,0,0,0,0,0,0,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/104m2-4-vaer-id-5238659,11/05/2021,11/06/2021,"Robert Jacobsens Vej, 2300 København, København S  - 3. sal",Robert Jacobsens Vej,2300,København S,Apartment,104.0,4,3,Unlimited,03/01/2202,The lease is located on Robert Jacobsen's road and consists of 4 rooms as well as kitchen and bath. The lease is 104 m2 and is ready for acquisition 01-03-2202. Monthly rent is 14400 kr. And prepaid rent and deposit amounts to a total of 43200 kr. Send a message if the lease has caught your interest.,14400,1200,28800,14400,58800,15600,1,2,0,0,1,0,0,0,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/115m2-5-vaer-id-5236098,10/27/2021,11/06/2021,"Ingrid Marievej, 2500 København, Valby  - 1. sal",Ingrid Marievej,2500,Valby,Apartment,115.0,5,1,Unlimited,12/01/2021,"Hibiscus house is for you who want proximity to both the city and nature - and will not compromise on quality. Here you get a stylish and modern home on historic Grønttorvet, close to the Grønttorvsparken and just a few minutes walk from public transport. With 375 apartments spread over 2, 3, 4 and 5 rooms are Hibiscus House a gem for all generations. The student, the young couple, children's family and the mature. Here is room for everyone. With several common roof terraces and greenhouses you get a framework that invites jointly. In Hibiscus House there is ample opportunity to create good neighbors.The stage 1 and 2 have started! Stage 1 and 2 are moving ready on November 1, 2021.Lease, modern housing huscus House is located along the north side of Grønttorvets towards Cozy Ingrid Marievej.de Nordic trends and sense of quality are throughout for all occasions. With bright, modern elements you get a home that you can easily put your personal touch on. And a well thought out plan solution that is easy to arrange. All apartments are furnished so you get the most sun. The apartments' living areas are located to the south, while the rooms are located to the north. You get optimal utilization of the natural daylight and can enjoy a sunny balcony or terrace. Green, detailed facades on Grønttorvet, there is focus on the architecture, and every building has its own special features that want to go to discover.Hibiscus house 'facade Start in yellow and warm shades, which through variation of bricks, wall details and facade planting get a vibrant and unique green expression when it is experienced from the urban room against Ingrid Marievej. Classic, characterful and inspirational. Therefore, Hibiscus House is furnished with two common roof terraces with greenhouses, cultivations and residence areas, where you can meet at cross and across the ranges. Book in Street Plan, there is room for the Communities to bloom. The green urban space between Hibiscus House and Ingrid Marievej is furnished with residence areas, play area for the smallest children as well as plant bed, a greenhouse and environmental shelter. Here you get modern village and proximity to both nature and city life. The good communities characterize the whole district, and everywhere in town there are small urban rooms and living areas that invite a respite. Figures from Hibiscus House, the district of the district, the 23,000 m2 Green Square with large grassland and fruit trees, where there is room for contemplation and freedom for play. In the Grønttorvsparken, the large mirror pool, orangery and shared dining house are now under construction, and the whole park and the district are finished in 2022.Shopping and cafégunstitutions and new school from 2026Gode connections by car, by bicycle and by public transport. Gang to Vigerslev Allé St. and new Ellebjerg St. (Metro from 2024)",14400,1245,43200,14400,73245,15645,1,3,0,0,0,1,0,1,1
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/114m2-5-vaer-id-5236096,10/27/2021,11/06/2021,"Ingrid Marievej, 2500 København, Valby  - 1. sal",Ingrid Marievej,2500,Valby,Apartment,114.0,5,1,Unlimited,12/01/2021,"Hibiscus house is for you who want proximity to both the city and nature - and will not compromise on quality. Here you get a stylish and modern home on historic Grønttorvet, close to the Grønttorvsparken and just a few minutes walk from public transport. With 375 apartments spread over 2, 3, 4 and 5 rooms are Hibiscus House a gem for all generations. The student, the young couple, children's family and the mature. Here is room for everyone. With several common roof terraces and greenhouses you get a framework that invites jointly. In Hibiscus House there is ample opportunity to create good neighbors.The stage 1 and 2 have started! Stage 1 and 2 are moving ready on November 1, 2021.Lease, modern housing huscus House is located along the north side of Grønttorvets towards Cozy Ingrid Marievej.de Nordic trends and sense of quality are throughout for all occasions. With bright, modern elements you get a home that you can easily put your personal touch on. And a well thought out plan solution that is easy to arrange. All apartments are furnished so you get the most sun. The apartments' living areas are located to the south, while the rooms are located to the north. You get optimal utilization of the natural daylight and can enjoy a sunny balcony or terrace. Green, detailed facades on Grønttorvet, there is focus on the architecture, and every building has its own special features that want to go to discover.Hibiscus house 'facade Start in yellow and warm shades, which through variation of bricks, wall details and facade planting get a vibrant and unique green expression when it is experienced from the urban room against Ingrid Marievej. Classic, characterful and inspirational. Therefore, Hibiscus House is furnished with two common roof terraces with greenhouses, cultivations and residence areas, where you can meet at cross and across the ranges. Book in Street Plan, there is room for the Communities to bloom. The green urban space between Hibiscus House and Ingrid Marievej is furnished with residence areas, play area for the smallest children as well as plant bed, a greenhouse and environmental shelter. Here you get modern village and proximity to both nature and city life. The good communities characterize the whole district, and everywhere in town there are small urban rooms and living areas that invite a respite. Figures from Hibiscus House, the district of the district, the 23,000 m2 Green Square with large grassland and fruit trees, where there is room for contemplation and freedom for play. In the Grønttorvsparken, the large mirror pool, orangery and shared dining house are now under construction, and the whole park and the district are finished in 2022.Shopping and cafégunstitutions and new school from 2026Gode connections by car, by bicycle and by public transport. Gang to Vigerslev Allé St. and new Ellebjerg St. (Metro from 2024)",14400,1235,43200,14400,73235,15635,1,3,0,0,0,1,0,1,1
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/91m2-3-vaer-id-5235427,10/25/2021,11/06/2021,"Ørestads Boulevard, 2300 København, København S  - 12. sal",Ørestads Boulevard,2300,København S,Apartment,91.0,3,12,Unlimited,04/01/2022,"Bellak neighborhood's new mortgage The home is designed by Cobe and Vilhelm Lauritzen Architects, and is a distinctive touch of the entrance to the Bellakvarter. The 60 meter high housing tower is designed in a white grid of raw concrete elements located on a dark brick base, which forms the frame around a green, natural courtyard. The homes in the base go up to 5th floor and have balconies and retracted terraces out to the farm, while the tower shoots 19 floors and has balconies all around. The property consists of a total of 200ths with 2-6 rooms. The view of the entire Ørestad and Amager Fælled Tower is drawn with 360 degree balconies in different depths that vary from French balconies for residence sales. It allows for a rich outdoor to go outside from all the rooms and enjoy the unbroken view over Ørestad and in over Amager Fælled to Copenhagen Skyline.Dukke Apartments in high quality homes have a stylish and Nordic look and listed in delicious materials such as great oak floors and large window sections. The large window sections provide a lovely light and an indescribable beautiful view from the tower apartments. The kitchen is a quality kitchen from Invita and in a timeless design with integrated white goods such as incorporation furnace, induction hob, fridge / freezer and dishwasher. All bathrooms are built in bright materials and shower cubes with extra large brush head that invites long baths and providing an impression of quality and well-being. All homes have their own washer and dryer. Dressing tower housing overlooking two world corner entrance to the new housing tower coming on the corner of Videby Allé and Ørestad Boulevard, where an Aula is established with wood on walls and ceilings, which gives a warm welcome. From here you can move on to the lift core, located in the center of the house and leads up to the apartments. All the tower homes are established as corner apartments overlooking two world corners and have a nice light in during the day. At the top is a unique penthouse apartment in two level, private roof terrace and bathtub where you can enjoy the view of Amager Fælled. DGNB is based on a holistic understanding of sustainability, which takes into account both environmental, economic, technical, procedural and social factors. Bellakvarter is a diverse neighborhood where sustainability comes into play in, among other things, the handling of rainwater, waste management and green areas. The homes are ready for occupation 1.4.22.House animals: with application. * Note that the images do not necessarily have been taken from that Apartment, and to view etc. Therefore, vary.",13800,950,41400,13800,69950,14750,1,3,0,1,1,1,0,1,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/89m2-4-vaer-id-5235504,10/25/2021,11/06/2021,"Gertrude Steins Vej, 2300 København, København S  - Stuen",Gertrude Steins Vej,2300,København S,Apartment,89.0,4,The living room,Unlimited,04/01/2022,"Bellak neighborhood's new mortgage The home is designed by Cobe and Vilhelm Lauritzen Architects, and is a distinctive touch of the entrance to the Bellakvarter. The 60 meter high housing tower is designed in a white grid of raw concrete elements located on a dark brick base, which forms the frame around a green, natural courtyard. The homes in the base go up to 5th floor and have balconies and retracted terraces out to the farm, while the tower shoots 19 floors and has balconies all around. The property consists of a total of 200ths with 2-6 rooms. The view of the entire Ørestad and Amager Fælled Tower is drawn with 360 degree balconies in different depths that vary from French balconies for residence sales. It allows for a rich outdoor to go outside from all the rooms and enjoy the unbroken view over Ørestad and in over Amager Fælled to Copenhagen Skyline.Dukke Apartments in high quality homes have a stylish and Nordic look and listed in delicious materials such as great oak floors and large window sections. The large window sections provide a lovely light and an indescribable beautiful view from the tower apartments. The kitchen is a quality kitchen from Invita and in a timeless design with integrated white goods such as incorporation furnace, induction hob, fridge / freezer and dishwasher. All bathrooms are built in bright materials and shower cubes with extra large brush head that invites long baths and providing an impression of quality and well-being. All homes have their own washer and dryer. Dressing tower housing overlooking two world corner entrance to the new housing tower coming on the corner of Videby Allé and Ørestad Boulevard, where an Aula is established with wood on walls and ceilings, which gives a warm welcome. From here you can move on to the lift core, located in the center of the house and leads up to the apartments. All the tower homes are established as corner apartments overlooking two world corners and have a nice light in during the day. At the top is a unique penthouse apartment in two level, private roof terrace and bathtub where you can enjoy the view of Amager Fælled. DGNB is based on a holistic understanding of sustainability, which takes into account both environmental, economic, technical, procedural and social factors. Bellakvarter is a diverse neighborhood where sustainability comes into play in, among other things, the handling of rainwater, waste management and green areas. The homes are ready for occupation 1.4.22.House animals: with application. * Note that the images do not necessarily have been taken from that Apartment, and to view etc. Therefore, vary.",13500,950,40500,13500,68450,14450,1,3,0,1,1,1,0,1,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/92m2-3-vaer-id-5191559,11/02/2021,11/06/2021,"Paradisæblevej, 2500 København, Valby  - 1. sal",Paradisæblevej,2500,Valby,Apartment,92.0,3,1,Unlimited,02/01/2022,"Hortensia House is the first built property in Copenhagen Grønnest district of Grønttorvet. A district, where you do not just live - but a place you live, thrive and feel at home. With clean, Nordic lines and delicious materials offer Hortensia house on rental housing of high quality - and with frames that make it easy to fall. The 133 rental apartments in Hortensia house are available in 2½ to 4 rooms - all with either terrace or balcony and not least the good sea life in shared. The green sprouts do not stop at the edible park and green joints of the green tygen, which the district is enveloped, but continued all the way into the settlement. Here, a green greenhouse on the roof and common beds in the yard offers a rich outdoor with land under the nails and space for green communities. The property's greenhouse can the property's residents grow vegetables, fruit, berries and herbs - and subsequently enjoy the taste of own ecology.Lyse apartments In the Nordic design for you choose a 2½ V or 4 V apartment, you are guaranteed flexibility and spaciousness and an architecturally completed expression - in high quality. The pure, Nordic lines thus permeate all apartments in Hortensia House. Both the kitchen and the large bathroom with beautiful, dark gray clinker ensure high functionality in everyday life. While a good light and high ceilings make the apartments bright, open and welcoming. The material selection for Hortensia House is great emphasis on quality and functional solutions. Kitchen and bath is from the Svane Kitchen and is designed in modern, Nordic style with clean lines - conducted in the well-known and high swan quality.To each apartment is also associated with its own private balcony or terrace from which to enjoy area life and shades. Common bicycle room in the basement.Uned you choose a 2½ V or 4 V apartment, you are secured flexibility and spaciousness and an architecturally completed expression - in high quality. The pure, Nordic lines thus permeate all apartments in Hortensia House. Both the kitchen and the large bathroom with beautiful, dark gray clinker ensure high functionality in everyday life. While a good light and high ceilings make the apartments bright, open and welcoming. The material selection for Hortensia House is great emphasis on quality and functional solutions. Kitchen and bath is from the Svane Kitchen and is designed in modern, Nordic style with clean lines - conducted in the well-known and high swan quality.To each apartment is also associated with its own private balcony or terrace from which to enjoy area life and shades. Common bike room in the basement.Grønttorvet should not only be a district you live in - but a place you live. We look forward to giving new life to the historical framework and creating a green and modern district, where exciting architecture, greenhouses, green roofs and the focus on communities will help preserve the old Grønttorv's DNA! Nordic architecture with Green TageJortensia House is drawn By the architecture Mangor & Nagel, inspired by the funkis architecture, which is known for its simple and clean expression. The construction is therefore listed in a tight, functionalistic style, where green roofs and architecture provide room for the design of greenery in the form of green beds, trees, shrubs and plants can create the details.The green elements from the green tores are also included in the building's architectural style. On the roof of the house there is a greenhouse where you can cultivate seasonal and strengthen relations with its neighbors. In addition, planted with succulent plants, which are beautiful to look at - and who simultaneously relieve the sewage system, as the plants take up large parts of the rainwater. Bicycle distance, with public transportation or in their own car. With only 8 minutes to the Town Hall Square, Grønttorvet is centrally located in a kingdom of experiences and activities. In addition, you get all daily needs covered in the local area. Shopping opportunities and children's institutions are within a short distance, while a rich café and store provider offers opportunities and experiences for all age groups.",12415,1000,49663,12415,75493,13415,1,4,0,0,0,1,0,1,1
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/96m2-4-vaer-id-5238664,11/05/2021,11/06/2021,"Asger Jorns Allé, 2300 København, København S  - 1. sal",Asger Jorns Allé,2300,København S,Apartment,96.0,4,1,Unlimited,02/01/2022,The lease is located on Asger Jorns Allé and consists of 4 rooms as well as kitchen and bath. The lease is 96 m2 and is ready for acquisition 01-02-2022. Monthly rent is DKK 13700 and pre-paid rent and deposit amounts to a total of 41100 kr. Send a message if the lease has caught your interest.,13700,1200,27400,13700,56000,14900,1,2,0,0,1,0,0,0,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/59m2-3-vaer-id-5236226,10/28/2021,11/06/2021,"Ægirsgade, 2200 København, København N  - 5. sal",Ægirsgade,2200,København N,Apartment,59.0,3,5,1-11 months,11/07/2021,"Furnished apartment at Nørrebros Rural Forge until July 1 2022. The apartment contains: Entrance, kitchen / dining kitchen, living room, bedroom and bathroom. Access to washing room. Water, electricity, heating and internet.",10500,0,10500,10500,31500,10500,1,1,1,0,0,0,0,0,0
